Name,Description,Category,Price,Image
Malm Bed,High Bed frame with 2 bed drawers - 140x200 cm,Beds,2395,https://www.ikea.com/se/sv/images/products/malm-saengstomme-hoeg-med-2-saenglador-vit__1154393_pe886042_s5.jpg?f=xl
HEMNES Bed,Daybed with 3 drawers and 2 mattresses - 80x200 cm,Beds,4885,https://www.ikea.com/se/sv/images/products/hemnes-dagbaedd-m-3-lador-2-madrasser-vit-afjaell-medium-fast__1180460_pe896336_s5.jpg?f=xl
VIMLE Sofa,4-seater sofa with chaise longue - Gunnared beige,Sofas,11595,https://www.ikea.com/se/sv/images/products/vimle-4-sitssoffa-med-schaeslong-gunnared-beige__0514363_pe639433_s5.jpg?f=xl
EKTORP Sofa,2-seater sofa - Hakebo dark grey,Sofas,3995,https://www.ikea.com/se/sv/images/products/ektorp-2-sitssoffa-hakebo-moerkgra__1194841_pe902086_s5.jpg?f=xl
IKEA 365+,Casserole with lid - stainless steel 5.0 l,Kitchen,199,https://www.ikea.com/se/sv/images/products/ikea-365-gryta-med-lock-rostfritt-stal__1006173_pe825758_s5.jpg?f=xl
SANDSBERG Table,Table in black - 110x67 cm,Tables,499,https://www.ikea.com/se/sv/images/products/sandsberg-bord-svart__1074348_pe856162_s5.jpg?f=xl
EKET Cabinet,Cabinet with 4 compartments - brown and walnut effect in 70x35x70 cm,Bookshelf,5995,https://www.ikea.com/se/en/images/products/eket-cabinet-with-4-compartments-brown-walnut-effect__1373853_pe960063_s5.jpg?f=s
INGATORP,Extendable black table - 110x155 cm,Tables,3995,https://www.ikea.com/se/sv/images/products/ingatorp-utdragbart-bord-svart__0737088_pe740878_s5.jpg?f=xl
BILLY Bookcase,Bookshelf in brown walnut pattern - 80x28x202 cm,Bookcases,799,https://www.ikea.com/se/sv/images/products/billy-bokhylla-brun-valnoetsmoenstrad__1097082_pe864710_s5.jpg?f=xl
ANNONS,Casserole with lid in glass and stainless steel - 2.8 l,Kitchen,79,https://www.ikea.com/se/sv/images/products/annons-gryta-med-lock-glas-rostfritt-stal__0714768_pe730240_s5.jpg?f=xl
HEMLAGAD,Casserole with lid in black - 3 l,Kitchen,249,https://www.ikea.com/se/sv/images/products/hemlagad-gryta-med-lock-svart__0789051_pe763794_s5.jpg?f=xl
HEMKOMST,Casserole with lid in stainless steel/glass - 5 l,Kitchen,349,https://www.ikea.com/se/sv/images/products/hemkomst-gryta-med-lock-rostfritt-stal-glas__1083743_pe859078_s5.jpg?f=xl
MELLTORP Table,Bord in vit - 125x75 cm,Tables,595,https://www.ikea.com/se/sv/images/products/melltorp-bord-vit__0737266_pe740964_s5.jpg?f=xl
SONGESAND Bed,Bed frame in white - 90x200 cm,Beds,995,https://www.ikea.com/se/sv/images/products/songesand-saengstomme-vit__0637618_pe698428_s5.jpg?f=xl
